"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\home\components\TransactionTable.tsx", "TypeScript JSX", 0, 0, 200, 0, 0, 4, 8, 212
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\home\services\dashboardService.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 5, 68
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\NotificationsPage.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\components\AddNotificationModal.tsx", "TypeScript JSX", 0, 0, 385, 0, 0, 3, 9, 397
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\components\NotificationModal.tsx", "TypeScript JSX", 0, 0, 159, 0, 0, 2, 6, 167
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\components\NotificationsTable.tsx", "TypeScript JSX", 0, 0, 272, 0, 0, 6, 10, 288
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\components\UpdateNotificationModal.tsx", "TypeScript JSX", 0, 0, 364, 0, 0, 3, 8, 375
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\hooks\useNotificationsTable.ts", "TypeScript", 187, 0, 0, 0, 0, 5, 12, 204
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\services\notificationService.ts", "TypeScript", 342, 0, 0, 0, 0, 12, 32, 386
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\types\types.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 2, 40
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\ProductsPage.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 4, 22
